epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2527.89,0.78864,1.06584,0.82127,0.99248,0.98658,0.99418,0.87293,0.46761,0.63211,0.81621,0.00333286,0.00333286,0.00333286
2,5012.97,0.70916,0.73845,0.80407,0.99678,0.99159,0.99483,0.89917,0.4049,0.55595,0.80636,0.0065342,0.0065342,0.0065342
3,7483.36,0.64849,0.69103,0.79738,0.99733,0.99061,0.99479,0.91204,0.36735,0.50042,0.80069,0.00960354,0.00960354,0.00960354
4,9951.73,0.56586,0.61965,0.78991,0.99681,0.98915,0.99485,0.92447,0.32997,0.44013,0.79455,0.009406,0.009406,0.009406
5,12420.3,0.49634,0.55318,0.78344,0.99786,0.99112,0.99481,0.93277,0.30476,0.39628,0.79052,0.009208,0.009208,0.009208
6,14892.3,0.46111,0.5169,0.77999,0.99769,0.99014,0.99463,0.93709,0.29077,0.36959,0.78834,0.00901,0.00901,0.00901
7,17364,0.4351,0.48965,0.77704,0.99847,0.99093,0.99467,0.94063,0.2799,0.35135,0.78686,0.008812,0.008812,0.008812
8,19834.2,0.41732,0.46951,0.77559,0.99898,0.99122,0.99462,0.94257,0.27451,0.33838,0.78619,0.008614,0.008614,0.008614
9,22305.5,0.40387,0.45493,0.77422,0.99888,0.99125,0.99461,0.94457,0.26723,0.32699,0.78488,0.008416,0.008416,0.008416
10,24776.2,0.39195,0.44192,0.77314,0.99904,0.99132,0.99456,0.94559,0.26443,0.32006,0.78425,0.008218,0.008218,0.008218
11,27246.8,0.38167,0.43096,0.77232,0.99894,0.99125,0.99451,0.94676,0.26094,0.3119,0.78365,0.00802,0.00802,0.00802
12,29714.3,0.37322,0.42138,0.77124,0.99914,0.99128,0.9945,0.94779,0.2574,0.30573,0.78325,0.007822,0.007822,0.007822
13,32182.4,0.36542,0.41308,0.77088,0.99927,0.99123,0.99446,0.94847,0.25498,0.30105,0.78287,0.007624,0.007624,0.007624
14,34653.1,0.35891,0.40402,0.77056,0.99919,0.99112,0.99447,0.94914,0.25247,0.29656,0.78261,0.007426,0.007426,0.007426
15,37124.1,0.35256,0.39778,0.77003,0.99939,0.9912,0.99445,0.94978,0.25058,0.29296,0.78235,0.007228,0.007228,0.007228
16,39595,0.34722,0.39062,0.76923,0.99939,0.99112,0.99443,0.95017,0.24919,0.29011,0.78212,0.00703,0.00703,0.00703
17,42065.7,0.34228,0.38502,0.76886,0.99944,0.99108,0.99441,0.95059,0.24766,0.28733,0.78194,0.006832,0.006832,0.006832
18,44533.1,0.33746,0.38027,0.76863,0.99943,0.99107,0.99441,0.951,0.24648,0.28514,0.78179,0.006634,0.006634,0.006634
19,47008.7,0.33268,0.37354,0.7682,0.99951,0.99103,0.99439,0.95135,0.24534,0.28311,0.78167,0.006436,0.006436,0.006436
20,49483.7,0.32805,0.36847,0.76799,0.99951,0.99101,0.99439,0.9518,0.24407,0.28097,0.78153,0.006238,0.006238,0.006238
21,52060.3,0.32358,0.36392,0.76792,0.99954,0.99095,0.99434,0.95202,0.24282,0.27883,0.78144,0.00604,0.00604,0.00604
22,54574.4,0.31999,0.36032,0.76751,0.9996,0.99092,0.99433,0.95235,0.24166,0.27677,0.78133,0.005842,0.005842,0.005842
23,57093.5,0.31652,0.35529,0.76696,0.99958,0.9909,0.99431,0.95276,0.2401,0.27463,0.78123,0.005644,0.005644,0.005644
24,59615.7,0.31193,0.35024,0.76697,0.99959,0.99086,0.99429,0.9531,0.23876,0.27268,0.78112,0.005446,0.005446,0.005446
25,62093.8,0.3083,0.34648,0.76641,0.99961,0.99081,0.99426,0.95332,0.23808,0.27113,0.781,0.005248,0.005248,0.005248
26,64565.8,0.30442,0.3416,0.76629,0.9996,0.99073,0.99424,0.95365,0.23657,0.26879,0.78084,0.00505,0.00505,0.00505
27,67035.3,0.30239,0.33843,0.76617,0.99961,0.99074,0.99423,0.95401,0.23522,0.26661,0.78072,0.004852,0.004852,0.004852
28,69568.5,0.29839,0.33415,0.76608,0.99963,0.99069,0.99421,0.95441,0.23362,0.26421,0.7806,0.004654,0.004654,0.004654
29,72177.9,0.29487,0.32854,0.76556,0.99966,0.99063,0.99419,0.95472,0.23273,0.26238,0.78047,0.004456,0.004456,0.004456
30,74750.6,0.29093,0.32361,0.76528,0.99967,0.99058,0.99418,0.95492,0.23185,0.26061,0.78033,0.004258,0.004258,0.004258
31,77232,0.28722,0.31995,0.76515,0.9997,0.99055,0.99417,0.95537,0.22989,0.2579,0.78021,0.00406,0.00406,0.00406
32,79701.6,0.28357,0.31518,0.76508,0.99974,0.9905,0.99416,0.95567,0.22872,0.25583,0.78005,0.003862,0.003862,0.003862
33,82292.3,0.28064,0.31126,0.76489,0.99973,0.99044,0.99414,0.95604,0.2272,0.25358,0.77989,0.003664,0.003664,0.003664
34,85075.8,0.27755,0.30729,0.76468,0.99973,0.9904,0.99412,0.95631,0.22586,0.25136,0.77974,0.003466,0.003466,0.003466
35,87782.2,0.27412,0.30341,0.76432,0.99974,0.99035,0.99405,0.95653,0.22457,0.24945,0.77961,0.003268,0.003268,0.003268
36,90267.9,0.27115,0.29849,0.76384,0.99974,0.99029,0.99402,0.95684,0.22348,0.24739,0.77944,0.00307,0.00307,0.00307
37,92743.1,0.26843,0.29552,0.76386,0.99976,0.99025,0.99398,0.95705,0.22208,0.24535,0.77928,0.002872,0.002872,0.002872
38,95215.1,0.26488,0.28959,0.76345,0.99977,0.99021,0.99394,0.95735,0.22068,0.24352,0.77911,0.002674,0.002674,0.002674
39,97687.2,0.26234,0.28559,0.76327,0.99977,0.99019,0.9939,0.95773,0.2189,0.24128,0.77893,0.002476,0.002476,0.002476
40,100159,0.2595,0.28214,0.76289,0.99978,0.99014,0.99388,0.95787,0.21754,0.23934,0.77872,0.002278,0.002278,0.002278
41,102631,0.24039,0.2711,0.75775,0.99976,0.9901,0.99387,0.95838,0.2154,0.23689,0.77852,0.00208,0.00208,0.00208
42,105070,0.23603,0.26542,0.75752,0.99978,0.99009,0.99386,0.95886,0.21317,0.23443,0.77833,0.001882,0.001882,0.001882
43,107509,0.23215,0.2598,0.75696,0.9998,0.99006,0.99383,0.95908,0.21179,0.23259,0.77815,0.001684,0.001684,0.001684
44,109949,0.22793,0.25394,0.75658,0.99981,0.99002,0.99381,0.95934,0.21054,0.23102,0.77798,0.001486,0.001486,0.001486
45,112389,0.2239,0.24806,0.7564,0.9998,0.99,0.99378,0.95983,0.20837,0.22928,0.77785,0.001288,0.001288,0.001288
46,114830,0.22047,0.24211,0.75629,0.9998,0.98999,0.99376,0.96024,0.2069,0.22731,0.77766,0.00109,0.00109,0.00109
47,117270,0.21589,0.2356,0.75573,0.9998,0.98995,0.99374,0.96054,0.2056,0.22628,0.77748,0.000892,0.000892,0.000892
48,119710,0.2123,0.22998,0.75544,0.9998,0.98992,0.99372,0.96085,0.20426,0.22426,0.77732,0.000694,0.000694,0.000694
49,122149,0.20865,0.22347,0.75516,0.99981,0.9899,0.9937,0.96097,0.20347,0.2227,0.77714,0.000496,0.000496,0.000496
50,124591,0.20444,0.21699,0.75522,0.99984,0.98985,0.99369,0.96111,0.20331,0.22211,0.77698,0.000298,0.000298,0.000298
