epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,346.569,0.58979,0.40414,0.79607,0.98681,0.98316,0.99331,0.82282,0.62105,0.37531,0.80499,0.000156771,0.000156771,0.000156771
43,353.675,0.57938,0.39291,0.79129,0.98342,0.982,0.99182,0.81872,0.63233,0.37981,0.80389,0.000140277,0.000140277,0.000140277
44,360.777,0.57348,0.39067,0.79239,0.9883,0.98366,0.99305,0.83764,0.5724,0.35505,0.80115,0.000123784,0.000123784,0.000123784
45,367.894,0.57701,0.38799,0.79048,0.98686,0.98152,0.99167,0.83208,0.58791,0.35919,0.80184,0.00010729,0.00010729,0.00010729
1,228.608,1.21136,1.45654,0.9054,0.87367,0.82992,0.89066,0.66507,0.83858,0.68965,0.87139,0.00333111,0.00333111,0.00333111
2,452.281,1.07363,0.6769,0.85326,0.97743,0.96818,0.98679,0.78902,0.66828,0.47103,0.84297,0.00653249,0.00653249,0.00653249
3,674.065,0.98125,0.57964,0.83631,0.98802,0.98052,0.99209,0.81184,0.62696,0.42215,0.82805,0.00960187,0.00960187,0.00960187
4,894.315,0.84866,0.49591,0.81928,0.98745,0.97997,0.99252,0.83137,0.57158,0.38319,0.81963,0.009406,0.009406,0.009406
5,1113.46,0.74682,0.43305,0.8083,0.99387,0.98589,0.99391,0.85374,0.49905,0.34155,0.81069,0.009208,0.009208,0.009208
6,1328.67,0.68992,0.39454,0.80171,0.99489,0.98677,0.99421,0.86937,0.45573,0.3078,0.80678,0.00901,0.00901,0.00901
7,1544.95,0.65037,0.36924,0.79741,0.99114,0.98345,0.99381,0.86604,0.47797,0.31623,0.80577,0.008812,0.008812,0.008812
8,1773.49,0.62512,0.35062,0.79422,0.99543,0.98659,0.99395,0.88514,0.42403,0.28216,0.80263,0.008614,0.008614,0.008614
9,2013.31,0.6028,0.3368,0.79145,0.996,0.98746,0.99413,0.88687,0.42293,0.2697,0.79974,0.008416,0.008416,0.008416
10,2281.8,0.5827,0.32455,0.79019,0.99718,0.98828,0.99424,0.89287,0.4059,0.25996,0.79687,0.008218,0.008218,0.008218
11,2568.49,0.56917,0.31583,0.78801,0.99589,0.98604,0.99408,0.89317,0.4126,0.25575,0.79574,0.00802,0.00802,0.00802
12,2847.27,0.55776,0.30904,0.78649,0.99687,0.98744,0.99383,0.90121,0.37988,0.24398,0.79565,0.007822,0.007822,0.007822
13,3125.23,0.545,0.30162,0.78535,0.99738,0.98798,0.99382,0.90207,0.37861,0.23801,0.79448,0.007624,0.007624,0.007624
14,3393.02,0.5332,0.29537,0.78439,0.99719,0.98857,0.99404,0.90824,0.36706,0.23206,0.79333,0.007426,0.007426,0.007426
15,3645.73,0.52398,0.28988,0.78326,0.997,0.98852,0.99385,0.90893,0.3631,0.22878,0.7923,0.007228,0.007228,0.007228
16,3900.98,0.51438,0.28456,0.78213,0.99778,0.98891,0.9941,0.91302,0.35422,0.22153,0.79169,0.00703,0.00703,0.00703
17,4166.77,0.5068,0.27972,0.78192,0.99756,0.98805,0.99369,0.91379,0.3487,0.21946,0.79187,0.006832,0.006832,0.006832
18,4424.74,0.50082,0.27604,0.78067,0.99796,0.98779,0.99369,0.91399,0.34939,0.21688,0.79105,0.006634,0.006634,0.006634
19,4685.82,0.49347,0.27283,0.78033,0.9974,0.9884,0.99382,0.91649,0.34218,0.21185,0.79072,0.006436,0.006436,0.006436
20,4943.63,0.48686,0.26859,0.77983,0.99773,0.98824,0.99381,0.91768,0.33915,0.20943,0.7899,0.006238,0.006238,0.006238
21,5206.3,0.48156,0.2655,0.77871,0.9982,0.98831,0.99374,0.91795,0.33686,0.20717,0.78994,0.00604,0.00604,0.00604
22,5466,0.4729,0.26164,0.7783,0.99843,0.98815,0.99377,0.92022,0.33215,0.20405,0.78935,0.005842,0.005842,0.005842
23,5729.87,0.47044,0.25923,0.77773,0.9984,0.98809,0.99366,0.92051,0.33086,0.20259,0.78908,0.005644,0.005644,0.005644
