epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,88480.7,0.29706,0.33732,0.76653,0.99706,0.99443,0.99394,0.95671,0.22681,0.25892,0.78371,0.005842,0.005842,0.005842
44,90543.1,0.2958,0.33461,0.76629,0.99716,0.99437,0.99391,0.95719,0.22382,0.25568,0.78361,0.005743,0.005743,0.005743
45,92609.1,0.29319,0.3321,0.76617,0.99734,0.99431,0.99388,0.9576,0.22196,0.2539,0.78349,0.005644,0.005644,0.005644
46,94675.6,0.2921,0.32997,0.76596,0.99755,0.99426,0.99386,0.95767,0.22122,0.25192,0.78336,0.005545,0.005545,0.005545
47,96747.8,0.29162,0.32906,0.76544,0.99774,0.99424,0.99386,0.95783,0.22033,0.25035,0.78321,0.005446,0.005446,0.005446
48,98831.7,0.28974,0.32697,0.76598,0.99792,0.9942,0.99383,0.95796,0.21955,0.24862,0.7831,0.005347,0.005347,0.005347
49,100944,0.28565,0.3232,0.76574,0.998,0.99421,0.99383,0.95804,0.2194,0.24812,0.78303,0.005248,0.005248,0.005248
50,103065,0.28525,0.32236,0.7657,0.99808,0.99417,0.99381,0.95819,0.21887,0.24693,0.78294,0.005149,0.005149,0.005149
51,105122,0.28365,0.32104,0.76566,0.99816,0.99412,0.99377,0.95829,0.21869,0.24608,0.78287,0.00505,0.00505,0.00505
52,107176,0.28173,0.31878,0.76575,0.99822,0.99406,0.99374,0.95881,0.21588,0.24306,0.78283,0.004951,0.004951,0.004951
53,109230,0.27975,0.31626,0.76559,0.99827,0.99401,0.9937,0.95928,0.21351,0.2414,0.78279,0.004852,0.004852,0.004852
54,111282,0.27794,0.31311,0.76539,0.99835,0.99396,0.99367,0.95952,0.21233,0.23972,0.78269,0.004753,0.004753,0.004753
55,113335,0.27616,0.31166,0.7651,0.99836,0.99391,0.99364,0.95968,0.21128,0.23763,0.78257,0.004654,0.004654,0.004654
56,115387,0.27445,0.30914,0.76508,0.99832,0.99384,0.9936,0.95981,0.21075,0.23643,0.78247,0.004555,0.004555,0.004555
57,117440,0.2738,0.30774,0.76524,0.99835,0.99381,0.99358,0.95998,0.20983,0.23465,0.78237,0.004456,0.004456,0.004456
58,119494,0.27148,0.30622,0.76493,0.99836,0.99374,0.99353,0.96005,0.20956,0.23363,0.78227,0.004357,0.004357,0.004357
59,121547,0.26949,0.30345,0.76482,0.9984,0.99367,0.9935,0.96006,0.20915,0.23242,0.78217,0.004258,0.004258,0.004258
60,123600,0.26715,0.30072,0.76508,0.99841,0.99361,0.99346,0.96018,0.20849,0.23091,0.78209,0.004159,0.004159,0.004159
61,125655,0.2671,0.30056,0.76496,0.99841,0.99355,0.99343,0.96057,0.20613,0.22883,0.78205,0.00406,0.00406,0.00406
62,127710,0.26617,0.30043,0.76474,0.99844,0.99352,0.99342,0.96099,0.20379,0.2268,0.78197,0.003961,0.003961,0.003961
63,129767,0.26464,0.29736,0.76476,0.99843,0.99347,0.9934,0.96114,0.20283,0.22522,0.78188,0.003862,0.003862,0.003862
64,131822,0.26359,0.29585,0.76457,0.99848,0.99344,0.99338,0.96134,0.20171,0.22382,0.78179,0.003763,0.003763,0.003763
65,133876,0.26151,0.29372,0.76436,0.9985,0.99344,0.99338,0.96145,0.20114,0.22296,0.78171,0.003664,0.003664,0.003664
66,135931,0.26142,0.29287,0.76456,0.99854,0.99342,0.99337,0.96162,0.20036,0.22158,0.78166,0.003565,0.003565,0.003565
67,137986,0.25899,0.29025,0.76455,0.99854,0.99338,0.99335,0.96178,0.19968,0.21999,0.78161,0.003466,0.003466,0.003466
68,140041,0.25588,0.28736,0.7646,0.99853,0.99334,0.99332,0.96187,0.199,0.2185,0.78156,0.003367,0.003367,0.003367
69,142095,0.25529,0.28494,0.76441,0.99852,0.99326,0.99328,0.96205,0.1983,0.2176,0.78147,0.003268,0.003268,0.003268
70,144151,0.25394,0.28386,0.76425,0.99855,0.99322,0.99326,0.96215,0.19759,0.21628,0.78141,0.003169,0.003169,0.003169
71,146205,0.25244,0.28141,0.7638,0.99854,0.99316,0.99324,0.96228,0.19674,0.21475,0.78133,0.00307,0.00307,0.00307
72,148259,0.2513,0.28024,0.76375,0.99851,0.99313,0.99322,0.96244,0.19595,0.21384,0.78124,0.002971,0.002971,0.002971
73,150313,0.24852,0.27739,0.76402,0.9985,0.9931,0.99321,0.96257,0.19544,0.21318,0.78118,0.002872,0.002872,0.002872
74,152367,0.24622,0.27408,0.76356,0.99857,0.99308,0.99319,0.9628,0.19524,0.21279,0.7811,0.002773,0.002773,0.002773
75,154421,0.24626,0.27451,0.76378,0.99853,0.99302,0.99317,0.96293,0.1947,0.21194,0.78106,0.002674,0.002674,0.002674
76,156474,0.24306,0.27073,0.76378,0.99851,0.99296,0.99314,0.96287,0.195,0.21173,0.78103,0.002575,0.002575,0.002575
77,158527,0.24345,0.26949,0.76307,0.99846,0.99292,0.99312,0.96273,0.19586,0.21176,0.78089,0.002476,0.002476,0.002476
78,160589,0.24097,0.26662,0.76261,0.99842,0.99285,0.99309,0.96261,0.19725,0.21292,0.78074,0.002377,0.002377,0.002377
79,162643,0.24077,0.26472,0.76267,0.99847,0.99276,0.99305,0.96281,0.19636,0.21178,0.78066,0.002278,0.002278,0.002278
80,164705,0.23932,0.26335,0.76272,0.9984,0.99272,0.99303,0.963,0.1949,0.21051,0.78058,0.002179,0.002179,0.002179
81,166760,0.23818,0.26302,0.76306,0.99839,0.99264,0.993,0.9633,0.19363,0.20839,0.78053,0.00208,0.00208,0.00208
82,168813,0.23607,0.25939,0.76267,0.99835,0.9926,0.99298,0.96358,0.19217,0.20597,0.78044,0.001981,0.001981,0.001981
83,170868,0.23501,0.25681,0.76238,0.99845,0.99257,0.99297,0.9638,0.19078,0.20412,0.78034,0.001882,0.001882,0.001882
84,172923,0.23358,0.25517,0.7624,0.99843,0.99253,0.99295,0.96408,0.18972,0.20322,0.78026,0.001783,0.001783,0.001783
85,174977,0.23211,0.2538,0.76198,0.99846,0.99247,0.99293,0.96422,0.18852,0.20274,0.78017,0.001684,0.001684,0.001684
86,177033,0.23019,0.2505,0.76185,0.99846,0.99243,0.99292,0.96435,0.18786,0.20232,0.78009,0.001585,0.001585,0.001585
87,179089,0.22755,0.24717,0.76159,0.99853,0.99239,0.9929,0.96447,0.18713,0.20144,0.78,0.001486,0.001486,0.001486
88,181144,0.22755,0.24598,0.76183,0.9985,0.99233,0.99288,0.96459,0.18656,0.20073,0.77994,0.001387,0.001387,0.001387
89,183197,0.22597,0.24434,0.76157,0.99849,0.9923,0.99287,0.96474,0.186,0.20015,0.77985,0.001288,0.001288,0.001288
90,185250,0.22464,0.2423,0.76162,0.99856,0.99225,0.99285,0.96485,0.18574,0.19981,0.77976,0.001189,0.001189,0.001189
91,187296,0.20519,0.22948,0.75641,0.99861,0.99219,0.99283,0.96493,0.18554,0.20062,0.77968,0.00109,0.00109,0.00109
92,189316,0.20319,0.22669,0.75641,0.99868,0.99215,0.99281,0.96507,0.18507,0.20049,0.77956,0.000991,0.000991,0.000991
93,191336,0.20001,0.22239,0.75556,0.99871,0.99211,0.9928,0.96521,0.1847,0.2008,0.77942,0.000892,0.000892,0.000892
94,193357,0.19864,0.22002,0.7552,0.99872,0.99207,0.99278,0.96527,0.18389,0.19908,0.77929,0.000793,0.000793,0.000793
95,195377,0.19653,0.21661,0.75526,0.99882,0.99203,0.99275,0.96545,0.18296,0.19623,0.7792,0.000694,0.000694,0.000694
96,197398,0.19419,0.21353,0.75513,0.99884,0.99197,0.99272,0.96559,0.18313,0.19531,0.77907,0.000595,0.000595,0.000595
97,199418,0.1926,0.21084,0.75516,0.99891,0.99194,0.99271,0.9657,0.1829,0.1947,0.77891,0.000496,0.000496,0.000496
98,201438,0.19039,0.20729,0.75494,0.99893,0.99194,0.9927,0.96568,0.18357,0.19666,0.77874,0.000397,0.000397,0.000397
99,203458,0.18845,0.20386,0.7552,0.99896,0.99186,0.99267,0.9659,0.18255,0.19667,0.77865,0.000298,0.000298,0.000298
100,205479,0.1856,0.20002,0.75493,0.99898,0.99183,0.99265,0.96611,0.18155,0.19519,0.77856,0.000199,0.000199,0.000199
