epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2521.97,0.78744,1.06536,0.82149,0.99458,0.98983,0.99479,0.87745,0.45849,0.61348,0.80812,0.00333286,0.00333286,0.00333286
2,5011.02,0.70972,0.73884,0.80397,0.99594,0.99194,0.9949,0.90012,0.40098,0.56095,0.80732,0.0065342,0.0065342,0.0065342
3,7487.15,0.64653,0.69032,0.79748,0.99754,0.99249,0.9949,0.91544,0.3625,0.49606,0.79967,0.00960354,0.00960354,0.00960354
4,9961,0.56357,0.61837,0.78983,0.99747,0.99134,0.99495,0.927,0.32592,0.43584,0.79404,0.009406,0.009406,0.009406
5,12432.4,0.49455,0.55289,0.78314,0.99749,0.99127,0.99494,0.93397,0.30435,0.39622,0.78981,0.009208,0.009208,0.009208
6,14904,0.45775,0.51406,0.7795,0.9981,0.9911,0.9949,0.93868,0.28938,0.36867,0.78765,0.00901,0.00901,0.00901
7,17379.5,0.43311,0.48812,0.77715,0.99831,0.99149,0.99493,0.9422,0.27893,0.35076,0.78565,0.008812,0.008812,0.008812
8,19855.6,0.41417,0.46832,0.77549,0.99853,0.9919,0.99485,0.94348,0.27472,0.33825,0.78452,0.008614,0.008614,0.008614
9,22328.5,0.40169,0.454,0.77411,0.99867,0.9916,0.99483,0.94627,0.26508,0.32522,0.78386,0.008416,0.008416,0.008416
10,24799.9,0.38896,0.43985,0.77295,0.99855,0.99159,0.99481,0.94726,0.26203,0.31696,0.78322,0.008218,0.008218,0.008218
11,27271.9,0.37958,0.42897,0.77226,0.99871,0.99169,0.9948,0.94851,0.25744,0.30924,0.7828,0.00802,0.00802,0.00802
12,29740.4,0.37156,0.41978,0.77161,0.99884,0.9917,0.99473,0.94954,0.25461,0.30386,0.7825,0.007822,0.007822,0.007822
13,32213.9,0.36391,0.41161,0.77126,0.99898,0.99165,0.99473,0.95006,0.25304,0.29951,0.78217,0.007624,0.007624,0.007624
14,34685.8,0.35717,0.40247,0.77037,0.99911,0.99167,0.99469,0.95036,0.25167,0.29543,0.78192,0.007426,0.007426,0.007426
15,37157.5,0.35078,0.3966,0.7699,0.99915,0.99168,0.99465,0.95108,0.24901,0.2915,0.78171,0.007228,0.007228,0.007228
16,39627,0.34505,0.38914,0.76934,0.99926,0.99166,0.99462,0.95159,0.24737,0.28835,0.78146,0.00703,0.00703,0.00703
17,42099.5,0.34043,0.38416,0.7689,0.99923,0.99157,0.9946,0.95199,0.24591,0.28559,0.78124,0.006832,0.006832,0.006832
18,44572.2,0.33419,0.37646,0.76841,0.99922,0.99151,0.99457,0.95247,0.24395,0.28283,0.78113,0.006634,0.006634,0.006634
19,47049.4,0.33088,0.37215,0.76823,0.99931,0.99148,0.99455,0.95291,0.2426,0.28059,0.781,0.006436,0.006436,0.006436
20,49522.2,0.32498,0.3656,0.76757,0.99932,0.99146,0.99453,0.95324,0.24129,0.27835,0.78087,0.006238,0.006238,0.006238
21,51996.7,0.32112,0.36183,0.76772,0.99932,0.99142,0.99452,0.95363,0.24013,0.27608,0.78075,0.00604,0.00604,0.00604
22,54465.6,0.31769,0.35834,0.76775,0.99934,0.99139,0.9945,0.95403,0.23881,0.2743,0.78063,0.005842,0.005842,0.005842
23,56942.8,0.31252,0.35128,0.76706,0.9994,0.99137,0.99447,0.95435,0.23764,0.27227,0.78047,0.005644,0.005644,0.005644
